GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.27200    1.70259     25.70081      223.34775      1.66721      -0.32340      26.04396      -2.86876   
 0.27300    1.72840     25.92306      221.13308      1.69337      -0.32625      26.27858      -2.84054   
 0.27400    1.75443     26.14305      218.84152      1.71977      -0.32908      26.51085      -2.81132   
 0.27500    1.78068     26.36072      216.47366      1.74639      -0.33188      26.74070      -2.78110   
 0.27600    1.80715     26.57598      214.03013      1.77325      -0.33464      26.96803      -2.74987   
 0.27700    1.83384     26.78875      211.51164      1.80033      -0.33737      27.19278      -2.71766   
 0.27800    1.86073     26.99897      208.91890      1.82763      -0.34008      27.41484      -2.68448   
 0.27900    1.88783     27.20657      206.25272      1.85516      -0.34274      27.63415      -2.65032   
 0.28000    1.91514     27.41146      203.51393      1.88290      -0.34538      27.85062      -2.61521   
 0.28100    1.94265     27.61357      200.70340      1.91086      -0.34797      28.06416      -2.57916   
 0.28200    1.97037     27.81284      197.82209      1.93903      -0.35053      28.27471      -2.54217   
 0.28300    1.99828     28.00919      194.87096      1.96741      -0.35306      28.48219      -2.50426   
 0.28400    2.02639     28.20256      191.85104      1.99599      -0.35554      28.68651      -2.46545   
 0.28500    2.05468     28.39287      188.76341      2.02478      -0.35799      28.88760      -2.42574   
 0.28600    2.08317     28.58006      185.60918      2.05376      -0.36039      29.08538      -2.38516   
 0.28700    2.11184     28.76407      182.38952      2.08295      -0.36276      29.27979      -2.34371   
 0.28800    2.14070     28.94482      179.10565      2.11232      -0.36508      29.47075      -2.30142   
 0.28900    2.16973     29.12226      175.75880      2.14189      -0.36736      29.65819      -2.25829   
 0.29000    2.19894     29.29632      172.35028      2.17164      -0.36960      29.84204      -2.21436   
 0.29100    2.22832     29.46694      168.88141      2.20157      -0.37179      30.02223      -2.16962   
 0.29200    2.25787     29.63406      165.35359      2.23168      -0.37394      30.19870      -2.12411   
 0.29300    2.28759     29.79763      161.76821      2.26197      -0.37604      30.37138      -2.07785   
 0.29400    2.31747     29.95758      158.12674      2.29242      -0.37809      30.54021      -2.03084   
 0.29500    2.34750     30.11386      154.43067      2.32305      -0.38010      30.70513      -1.98312   
 0.29600    2.37769     30.26642      150.68152      2.35383      -0.38206      30.86607      -1.93469   
 0.29700    2.40804     30.41521      146.88085      2.38478      -0.38397      31.02299      -1.88559   
 0.29800    2.43852     30.56017      143.03027      2.41588      -0.38583      31.17582      -1.83583   
 0.29900    2.46915     30.70125      139.13139      2.44713      -0.38764      31.32450      -1.78544   
 0.30000    2.49992     30.83841      135.18588      2.47852      -0.38940      31.46900      -1.73444   
 0.30100    2.53083     30.97161      131.19542      2.51006      -0.39111      31.60925      -1.68284   
 0.30200    2.56187     31.10079      127.16172      2.54174      -0.39276      31.74521      -1.63068   
 0.30300    2.59303     31.22592      123.08652      2.57355      -0.39437      31.87683      -1.57798   
 0.30400    2.62432     31.34695      118.97160      2.60549      -0.39592      32.00407      -1.52475   
 0.30500    2.65572     31.46385      114.81873      2.63756      -0.39742      32.12689      -1.47103   
 0.30600    2.68724     31.57658      110.62973      2.66975      -0.39886      32.24523      -1.41684   
 0.30700    2.71887     31.68510      106.40642      2.70205      -0.40025      32.35908      -1.36220   
 0.30800    2.75061     31.78938      102.15065      2.73446      -0.40159      32.46838      -1.30714   
 0.30900    2.78245     31.88939       97.86428      2.76698      -0.40287      32.57311      -1.25168   
 0.31000    2.81439     31.98510       93.54919      2.79961      -0.40409      32.67323      -1.19585   
 0.31100    2.84642     32.07648       89.20726      2.83233      -0.40526      32.76872      -1.13967   
 0.31200    2.87854     32.16350       84.84040      2.86514      -0.40637      32.85954      -1.08318   
 0.31300    2.91075     32.24615       80.45051      2.89805      -0.40742      32.94568      -1.02638   
 0.31400    2.94303     32.32440       76.03952      2.93103      -0.40842      33.02710      -0.96932   
 0.31500    2.97539     32.39822       71.60933      2.96410      -0.40936      33.10379      -0.91202   
 0.31600    3.00783     32.46761       67.16188      2.99724      -0.41025      33.17573      -0.85450   
 0.31700    3.04033     32.53254       62.69909      3.03045      -0.41107      33.24290      -0.79678   
 0.31800    3.07289     32.59300       58.22289      3.06372      -0.41184      33.30529      -0.73891   
 0.31900    3.10551     32.64898       53.73520      3.09706      -0.41255      33.36288      -0.68089   
 0.32000    3.13819     32.70047       49.23794      3.13045      -0.41320      33.41567      -0.62275   
 0.32100    3.17091     32.74746       44.73303      3.16389      -0.41379      33.46365      -0.56453   
 0.32200    3.20368     32.78993       40.22238      3.19737      -0.41433      33.50682      -0.50625   
 0.32300    3.23649     32.82790       35.70787      3.23090      -0.41481      33.54516      -0.44793   
 0.32400    3.26933     32.86135       31.19141      3.26446      -0.41523      33.57869      -0.38960   
 0.32500    3.30221     32.89028       26.67487      3.29805      -0.41559      33.60739      -0.33128   
 0.32600    3.33511     32.91470       22.16010      3.33167      -0.41589      33.63128      -0.27301   
 0.32700    3.36804     32.93460       17.64895      3.36532      -0.41613      33.65036      -0.21479   
 0.32800    3.40098     32.95000       13.14325      3.39897      -0.41632      33.66464      -0.15666   
 0.32900    3.43394     32.96089        8.64481      3.43264      -0.41645      33.67412      -0.09865   
 0.33000    3.46690     32.96729        4.15542      3.46632      -0.41652      33.67882      -0.04077   
 0.33100    3.49987     32.96921       -0.32316      3.50000      -0.41653      33.67876       0.01695   
 0.33200    3.53284     32.96665       -4.78920      3.53368      -0.41648      33.67394       0.07449   
 0.33300    3.56580     32.95963       -9.24096      3.56735      -0.41638      33.66439       0.13182   
 0.33400    3.59876     32.94817      -13.67676      3.60100      -0.41622      33.65013       0.18893   
 0.33500    3.63170     32.93229      -18.09494      3.63464      -0.41600      33.63117       0.24578   
 0.33600    3.66462     32.91199      -22.49387      3.66826      -0.41573      33.60755       0.30237   
 0.33700    3.69752     32.88731      -26.87194      3.70186      -0.41540      33.57928       0.35865   
 0.33800    3.73039     32.85825      -31.22758      3.73542      -0.41501      33.54639       0.41463   
 0.33900    3.76323     32.82486      -35.55925      3.76895      -0.41457      33.50892       0.47027   
 0.34000    3.79604     32.78714      -39.86545      3.80244      -0.41407      33.46689       0.52556   
 0.34100    3.82881     32.74514      -44.14471      3.83588      -0.41352      33.42033       0.58048   
 0.34200    3.86153     32.69886      -48.39559      3.86928      -0.41291      33.36928       0.63500   
 0.34300    3.89420     32.64836      -52.61669      3.90262      -0.41225      33.31377       0.68911   
 0.34400    3.92682     32.59364      -56.80666      3.93590      -0.41153      33.25385       0.74280   
 0.34500    3.95939     32.53475      -60.96417      3.96912      -0.41076      33.18954       0.79603   
 0.34600    3.99189     32.47172      -65.08794      4.00228      -0.40994      33.12089       0.84881   
 0.34700    4.02433     32.40459      -69.17673      4.03537      -0.40906      33.04794       0.90111   
 0.34800    4.05670     32.33338      -73.22932      4.06838      -0.40814      32.97073       0.95291   
 0.34900    4.08900     32.25814      -77.24457      4.10131      -0.40716      32.88931       1.00421   
 0.35000    4.12122     32.17891      -81.22134      4.13415      -0.40613      32.80371       1.05498   
 0.35100    4.15335     32.09571      -85.15856      4.16691      -0.40505      32.71399       1.10522   
 0.35200    4.18541     32.00860      -89.05520      4.19958      -0.40392      32.62020       1.15491   
 0.35300    4.21737     31.91762      -92.91025      4.23215      -0.40274      32.52237       1.20403   
 0.35400    4.24924     31.82280      -96.72276      4.26462      -0.40151      32.42056       1.25258   
 0.35500    4.28101     31.72419     -100.49182      4.29699      -0.40023      32.31483       1.30054   
 0.35600    4.31269     31.62183     -104.21657      4.32925      -0.39891      32.20521       1.34790   
 0.35700    4.34426     31.51577     -107.89619      4.36140      -0.39754      32.09177       1.39466   
 0.35800    4.37572     31.40605     -111.52988      4.39343      -0.39612      31.97455       1.44080   
 0.35900    4.40707     31.29272     -115.11692      4.42535      -0.39466      31.85361       1.48631   
 0.36000    4.43830     31.17583     -118.65660      4.45714      -0.39315      31.72900       1.53119   
 0.36100    4.46942     31.05543     -122.14828      4.48880      -0.39159      31.60078       1.57542   
 0.36200    4.50041     30.93155     -125.59135      4.52034      -0.39000      31.46900       1.61901   
 0.36300    4.53128     30.80426     -128.98524      4.55174      -0.38836      31.33372       1.66194   
 0.36400    4.56202     30.67360     -132.32942      4.58301      -0.38667      31.19500       1.70420   
 0.36500    4.59263     30.53962     -135.62341      4.61413      -0.38495      31.05288       1.74580   
 0.36600    4.62310     30.40237     -138.86677      4.64511      -0.38318      30.90744       1.78672   
 0.36700    4.65343     30.26190     -142.05909      4.67594      -0.38137      30.75872       1.82696   
 0.36800    4.68362     30.11827     -145.20002      4.70663      -0.37953      30.60678       1.86652   
 0.36900    4.71366     29.97152     -148.28924      4.73716      -0.37764      30.45169       1.90540   
 0.37000    4.74356     29.82171     -151.32646      4.76753      -0.37572      30.29349       1.94358   
 0.37100    4.77331     29.66888     -154.31144      4.79774      -0.37375      30.13225       1.98108   
 0.37200    4.80290     29.51310     -157.24398      4.82779      -0.37176      29.96803       2.01788   
 0.37300    4.83233     29.35441     -160.12391      4.85768      -0.36972      29.80088       2.05399   
 0.37400    4.86161     29.19287     -162.95110      4.88739      -0.36765      29.63087       2.08940   
 0.37500    4.89072     29.02853     -165.72547      4.91694      -0.36554      29.45805       2.12411   
 0.37600    4.91966     28.86144     -168.44694      4.94631      -0.36340      29.28248       2.15813   
 0.37700    4.94844     28.69165     -171.11551      4.97550      -0.36122      29.10422       2.19146   
 0.37800    4.97704     28.51922     -173.73118      5.00452      -0.35902      28.92333       2.22409   
 0.37900    5.00548     28.34421     -176.29400      5.03335      -0.35678      28.73986       2.25603   
 0.38000    5.03373     28.16665     -178.80404      5.06199      -0.35451      28.55387       2.28727   
 0.38100    5.06181     27.98662     -181.26142      5.09045      -0.35220      28.36543       2.31783   
 0.38200    5.08970     27.80415     -183.66628      5.11872      -0.34987      28.17459       2.34770   
 0.38300    5.11742     27.61930     -186.01878      5.14680      -0.34751      27.98140       2.37689   
 0.38400    5.14494     27.43213     -188.31913      5.17469      -0.34512      27.78592       2.40540   
 0.38500    5.17228     27.24268     -190.56755      5.20237      -0.34270      27.58821       2.43323   
 0.38600    5.19943     27.05101     -192.76431      5.22986      -0.34025      27.38833       2.46039   
 0.38700    5.22638     26.85717     -194.90968      5.25715      -0.33778      27.18633       2.48689   
 0.38800    5.25314     26.66121     -197.00396      5.28423      -0.33528      26.98226       2.51272   
 0.38900    5.27970     26.46318     -199.04750      5.31111      -0.33275      26.77619       2.53789   
 0.39000    5.30607     26.26313     -201.04065      5.33779      -0.33020      26.56816       2.56241   
 0.39100    5.33223     26.06111     -202.98379      5.36425      -0.32763      26.35823       2.58628   
 0.39200    5.35819     25.85718     -204.87732      5.39050      -0.32503      26.14645       2.60952   
 0.39300    5.38394     25.65137     -206.72167      5.41654      -0.32241      25.93287       2.63211   
 0.39400    5.40949     25.44375     -208.51726      5.44237      -0.31976      25.71755       2.65408   
 0.39500    5.43483     25.23436     -210.26458      5.46798      -0.31710      25.50054       2.67543   
 0.39600    5.45996     25.02324     -211.96410      5.49337      -0.31441      25.28189       2.69617   
 0.39700    5.48488     24.81044     -213.61631      5.51854      -0.31171      25.06165       2.71629   
 0.39800    5.50958     24.59602     -215.22173      5.54349      -0.30898      24.83986       2.73582   
 0.39900    5.53407     24.38002     -216.78089      5.56822      -0.30624      24.61658       2.75476   
 0.40000    5.55834     24.16247     -218.29434      5.59272      -0.30347      24.39186       2.77311   
 0.40100    5.58239     23.94344     -219.76264      5.61700      -0.30069      24.16574       2.79088   
 0.40200    5.60622     23.72296     -221.18636      5.64105      -0.29789      23.93827       2.80808   
 0.40300    5.62984     23.50108     -222.56607      5.66488      -0.29507      23.70950       2.82473   
 0.40400    5.65323     23.27785     -223.90239      5.68847      -0.29224      23.47947       2.84082   
 0.40500    5.67639     23.05329     -225.19592      5.71184      -0.28939      23.24822       2.85636   
 0.40600    5.69933     22.82747     -226.44726      5.73497      -0.28653      23.01580       2.87137   
 0.40700    5.72205     22.60041     -227.65706      5.75787      -0.28365      22.78226       2.88586   
 0.40800    5.74453     22.37217     -228.82593      5.78053      -0.28076      22.54763       2.89982   
 0.40900    5.76679     22.14277     -229.95454      5.80296      -0.27785      22.31195       2.91328   
 0.41000    5.78882     21.91227     -231.04351      5.82516      -0.27493      22.07528       2.92623   
 0.41100    5.81061     21.68070     -232.09351      5.84711      -0.27200      21.83764       2.93870   
 0.41200    5.83218     21.44810     -233.10519      5.86883      -0.26905      21.59908       2.95068   
 0.41300    5.85351     21.21450     -234.07922      5.89031      -0.26610      21.35963       2.96218   
 0.41400    5.87461     20.97995     -235.01627      5.91155      -0.26313      21.11934       2.97322   
 0.41500    5.89547     20.74448     -235.91701      5.93255      -0.26015      20.87824       2.98381   
 0.41600    5.91610     20.50813     -236.78210      5.95331      -0.25716      20.63636       2.99395   
 0.41700    5.93649     20.27093     -237.61224      5.97382      -0.25416      20.39375       3.00365   
 0.41800    5.95664     20.03292     -238.40808      5.99409      -0.25115      20.15043       3.01292   
 0.41900    5.97655     19.79412     -239.17032      6.01412      -0.24814      19.90644       3.02177   
 0.42000    5.99623     19.55459     -239.89962      6.03391      -0.24511      19.66182       3.03021   
 0.42100    6.01566     19.31434     -240.59666      6.05345      -0.24208      19.41659       3.03825   
 0.42200    6.03485     19.07340     -241.26213      6.07274      -0.23903      19.17079       3.04590   
 0.42300    6.05381     18.83182     -241.89668      6.09179      -0.23599      18.92445       3.05316   
 0.42400    6.07252     18.58962     -242.50100      6.11059      -0.23293      18.67759       3.06005   
 0.42500    6.09099     18.34683     -243.07575      6.12914      -0.22987      18.43026       3.06657   
 0.42600    6.10921     18.10348     -243.62160      6.14745      -0.22680      18.18247       3.07274   
 0.42700    6.12719     17.85960     -244.13921      6.16551      -0.22372      17.93425       3.07855   
 0.42800    6.14493     17.61521     -244.62924      6.18332      -0.22064      17.68564       3.08403   
 0.42900    6.16242     17.37035     -245.09234      6.20088      -0.21755      17.43665       3.08918   
 0.43000    6.17967     17.12503     -245.52916      6.21819      -0.21446      17.18732       3.09400   
 0.43100    6.19667     16.87930     -245.94035      6.23525      -0.21136      16.93766       3.09851   
 0.43200    6.21343     16.63316     -246.32653      6.25207      -0.20826      16.68771       3.10271   
 0.43300    6.22994     16.38665     -246.68835      6.26863      -0.20516      16.43749       3.10661   
 0.43400    6.24620     16.13979     -247.02642      6.28494      -0.20205      16.18701       3.11023   
 0.43500    6.26222     15.89261     -247.34137      6.30100      -0.19894      15.93631       3.11356   
 0.43600    6.27799     15.64512     -247.63380      6.31681      -0.19582      15.68539       3.11662   
 0.43700    6.29351     15.39735     -247.90431      6.33237      -0.19271      15.43430       3.11941   
 0.43800    6.30878     15.14932     -248.15351      6.34768      -0.18958      15.18303       3.12195   
 0.43900    6.32381     14.90105     -248.38198      6.36274      -0.18646      14.93162       3.12423   
 0.44000    6.33858     14.65256     -248.59029      6.37754      -0.18334      14.68009       3.12627   
 0.44100    6.35311     14.40387     -248.77902      6.39210      -0.18021      14.42844       3.12808   
 0.44200    6.36739     14.15501     -248.94873      6.40640      -0.17708      14.17670       3.12965   
 0.44300    6.38142     13.90598     -249.09997      6.42045      -0.17395      13.92489       3.13101   
 0.44400    6.39520     13.65681     -249.23328      6.43425      -0.17082      13.67303       3.13215   
 0.44500    6.40874     13.40752     -249.34919      6.44780      -0.16769      13.42112       3.13308   
 0.44600    6.42202     13.15812     -249.44823      6.46109      -0.16455      13.16919       3.13382   
 0.44700    6.43505     12.90863     -249.53091      6.47414      -0.16142      12.91724       3.13435   
 0.44800    6.44784     12.65906     -249.59773      6.48693      -0.15828      12.66530       3.13471   
 0.44900    6.46037     12.40944     -249.64919      6.49947      -0.15515      12.41338       3.13487   
 0.45000    6.47265     12.15977     -249.68576      6.51176      -0.15201      12.16149       3.13487   
 0.45100    6.48469     11.91007     -249.70792      6.52379      -0.14888      11.90964       3.13469   
 0.45200    6.49647     11.66036     -249.71613      6.53557      -0.14574      11.65785       3.13435   
 0.45300    6.50801     11.41064     -249.71084      6.54711      -0.14261      11.40613       3.13386   
 0.45400    6.51930     11.16094     -249.69248      6.55839      -0.13948      11.15449       3.13321   
 0.45500    6.53033     10.91126     -249.66149      6.56942      -0.13634      10.90294       3.13241   
 0.45600    6.54112     10.66162     -249.61827      6.58019      -0.13321      10.65149       3.13147   
 0.45700    6.55166     10.41203     -249.56324      6.59072      -0.13008      10.40016       3.13040   
 0.45800    6.56194     10.16250     -249.49678      6.60099      -0.12695      10.14894       3.12919   
 0.45900    6.57198      9.91304     -249.41929      6.61102      -0.12382       9.89786       3.12786   
 0.46000    6.58177      9.66366     -249.33112      6.62079      -0.12070       9.64692       3.12641   
 0.46100    6.59131      9.41438     -249.23264      6.63031      -0.11757       9.39612       3.12484   
 0.46200    6.60060      9.16520     -249.12419      6.63958      -0.11445       9.14548       3.12316   
 0.46300    6.60964      8.91614     -249.00611      6.64860      -0.11132       8.89501       3.12136   
 0.46400    6.61843      8.66719     -248.87872      6.65737      -0.10820       8.64471       3.11947   
 0.46500    6.62697      8.41838     -248.74234      6.66589      -0.10508       8.39459       3.11747   
 0.46600    6.63527      8.16971     -248.59726      6.67416      -0.10197       8.14466       3.11537   
 0.46700    6.64331      7.92119     -248.44376      6.68218      -0.09885       7.89492       3.11318   
 0.46800    6.65111      7.67283     -248.28214      6.68995      -0.09574       7.64538       3.11091   
 0.46900    6.65866      7.42463     -248.11264      6.69747      -0.09263       7.39604       3.10854   
 0.47000    6.66596      7.17660     -247.93553      6.70474      -0.08953       7.14692       3.10609   
 0.47100    6.67301      6.92876     -247.75103      6.71176      -0.08642       6.89802       3.10357   
 0.47200    6.67982      6.68110     -247.55939      6.71854      -0.08332       6.64933       3.10096   
 0.47300    6.68637      6.43364     -247.36081      6.72506      -0.08022       6.40088       3.09828   
 0.47400    6.69268      6.18639     -247.15550      6.73134      -0.07712       6.15266       3.09552   
 0.47500    6.69875      5.93934     -246.94365      6.73737      -0.07403       5.90467       3.09270   
 0.47600    6.70456      5.69250     -246.72544      6.74315      -0.07094       5.65693       3.08981   
 0.47700    6.71013      5.44589     -246.50104      6.74868      -0.06785       5.40943       3.08685   
 0.47800    6.71545      5.19950     -246.27061      6.75397      -0.06476       5.16219       3.08383   
 0.47900    6.72053      4.95335     -246.03429      6.75901      -0.06168       4.91520       3.08075   
 0.48000    6.72536      4.70743     -245.79222      6.76380      -0.05860       4.66847       3.07761   
 0.48100    6.72995      4.46176     -245.54451      6.76834      -0.05552       4.42200       3.07440   
 0.48200    6.73428      4.21635     -245.29128      6.77264      -0.05245       4.17580       3.07114   
 0.48300    6.73838      3.97118     -245.03262      6.77670      -0.04938       3.92986       3.06783   
 0.48400    6.74223      3.72628     -244.76862      6.78050      -0.04632       3.68420       3.06446   
 0.48500    6.74583      3.48165     -244.49936      6.78406      -0.04325       3.43882       3.06103   
 0.48600    6.74919      3.23729     -244.22489      6.78738      -0.04019       3.19372       3.05755   
 0.48700    6.75231      2.99320     -243.94527      6.79045      -0.03714       2.94890       3.05402   
 0.48800    6.75518      2.74940     -243.66055      6.79328      -0.03409       2.70437       3.05043   
 0.48900    6.75780      2.50588     -243.37074      6.79586      -0.03104       2.46014       3.04679   
 0.49000    6.76019      2.26266     -243.07587      6.79820      -0.02799       2.21619       3.04310   
 0.49100    6.76233      2.01973     -242.77594      6.80029      -0.02495       1.97254       3.03936   
 0.49200    6.76423      1.77711     -242.47096      6.80214      -0.02191       1.72919       3.03556   
 0.49300    6.76588      1.53479     -242.16090      6.80375      -0.01888       1.48615       3.03172   
 0.49400    6.76730      1.29279     -241.84573      6.80512      -0.01585       1.24341       3.02781   
 0.49500    6.76847      1.05110     -241.52543      6.80624      -0.01282       1.00099       3.02386   
 0.49600    6.76940      0.80974     -241.19994      6.80712      -0.00980       0.75887       3.01985   
 0.49700    6.77009      0.56870     -240.86921      6.80776      -0.00679       0.51708       3.01579   
 0.49800    6.77054      0.32800     -240.53316      6.80815      -0.00377       0.27560       3.01167   
 0.49900    6.77075      0.08764     -240.19171      6.80831      -0.00076       0.03445       3.00749   
 0.50000    6.77071     -0.15238     -239.84478      6.80822       0.00224      -0.20637       3.00325   
 0.50100    6.77044     -0.39205     -239.49227      6.80790       0.00524      -0.44685       2.99896   
 0.50200    6.76993     -0.63136     -239.13406      6.80733       0.00824      -0.68701       2.99460   
 0.50300    6.76918     -0.87032     -238.77003      6.80652       0.01123      -0.92682       2.99018   
 0.50400    6.76819     -1.10890     -238.40006      6.80547       0.01422      -1.16628       2.98570   
 0.50500    6.76696     -1.34711     -238.02400      6.80419       0.01721      -1.40540       2.98115   
 0.50600    6.76549     -1.58495     -237.64171      6.80266       0.02018      -1.64416       2.97653   
 0.50700    6.76379     -1.82239     -237.25301      6.80090       0.02316      -1.88256       2.97184   
 0.50800    6.76185     -2.05945     -236.85776      6.79890       0.02613      -2.12060       2.96707   
 0.50900    6.75967     -2.29611     -236.45575      6.79666       0.02909      -2.35827       2.96223   
 0.51000    6.75726     -2.53236     -236.04682      6.79418       0.03205      -2.59556       2.95732   
 0.51100    6.75461     -2.76820     -235.63076      6.79147       0.03501      -2.83248       2.95232   
 0.51200    6.75172     -3.00362     -235.20737      6.78852       0.03796      -3.06901       2.94724   
 0.51300    6.74860     -3.23861     -234.77643      6.78533       0.04090      -3.30515       2.94208   
 0.51400    6.74524     -3.47317     -234.33772      6.78191       0.04384      -3.54088       2.93682   
 0.51500    6.74165     -3.70728     -233.89101      6.77825       0.04678      -3.77622       2.93148   
 0.51600    6.73783     -3.94095     -233.43606      6.77436       0.04970      -4.01114       2.92604   
 0.51700    6.73377     -4.17415     -232.97263      6.77023       0.05263      -4.24564       2.92050   
 0.51800    6.72948     -4.40689     -232.50046      6.76586       0.05554      -4.47972       2.91486   
 0.51900    6.72496     -4.63915     -232.01928      6.76127       0.05846      -4.71336       2.90911   
 0.52000    6.72020     -4.87093     -231.52884      6.75644       0.06136      -4.94656       2.90326   
 0.52100    6.71522     -5.10221     -231.02884      6.75137       0.06426      -5.17931       2.89729   
 0.52200    6.71000     -5.33298     -230.51901      6.74608       0.06716      -5.41161       2.89120   
 0.52300    6.70455     -5.56324     -229.99906      6.74055       0.07005      -5.64343       2.88500   
 0.52400    6.69887     -5.79298     -229.46869      6.73479       0.07293      -5.87478       2.87867   
 0.52500    6.69297     -6.02217     -228.92760      6.72880       0.07580      -6.10564       2.87222   
 0.52600    6.68683     -6.25083     -228.37548      6.72258       0.07867      -6.33601       2.86563   
 0.52700    6.68046     -6.47892     -227.81200      6.71613       0.08153      -6.56587       2.85891   
 0.52800    6.67387     -6.70645     -227.23686      6.70945       0.08439      -6.79521       2.85204   
 0.52900    6.66705     -6.93339     -226.64973      6.70254       0.08724      -7.02402       2.84503   
 0.53000    6.66000     -7.15974     -226.05028      6.69540       0.09008      -7.25230       2.83788   
 0.53100    6.65273     -7.38549     -225.43816      6.68804       0.09291      -7.48002       2.83056   
 0.53200    6.64523     -7.61061     -224.81305      6.68044       0.09574      -7.70718       2.82309   
 0.53300    6.63751     -7.83511     -224.17459      6.67262       0.09856      -7.93376       2.81546   
 0.53400    6.62956     -8.05896     -223.52244      6.66457       0.10137      -8.15976       2.80766   
 0.53500    6.62139     -8.28215     -222.85625      6.65630       0.10418      -8.38515       2.79969   
 0.53600    6.61300     -8.50467     -222.17566      6.64780       0.10697      -8.60993       2.79154   
 0.53700    6.60438     -8.72650     -221.48032      6.63908       0.10976      -8.83408       2.78321   
 0.53800    6.59555     -8.94762     -220.76987      6.63014       0.11254      -9.05758       2.77469   
 0.53900    6.58649     -9.16803     -220.04395      6.62097       0.11531      -9.28042       2.76598   
 0.54000    6.57721     -9.38771     -219.30219      6.61158       0.11807      -9.50259       2.75707   
 0.54100    6.56771     -9.60663     -218.54422      6.60196       0.12082      -9.72407       2.74796   
 0.54200    6.55800     -9.82479     -217.76969      6.59213       0.12356      -9.94484       2.73865   
 0.54300    6.54806    -10.04216     -216.97822      6.58207       0.12630     -10.16489       2.72912   
 0.54400    6.53791    -10.25874     -216.16945      6.57180       0.12902     -10.38420       2.71938   
 0.54500    6.52755    -10.47450     -215.34301      6.56131       0.13174     -10.60275       2.70942   
 0.54600    6.51697    -10.68942     -214.49855      6.55059       0.13444     -10.82053       2.69923   
 0.54700    6.50617    -10.90349     -213.63568      6.53966       0.13714     -11.03751       2.68881   
 0.54800    6.49516    -11.11668     -212.75405      6.52852       0.13982     -11.25367       2.67816   
 0.54900    6.48394    -11.32899     -211.85330      6.51716       0.14249     -11.46901       2.66726   
 0.55000    6.47250    -11.54038     -210.93306      6.50558       0.14515     -11.68350       2.65612   
 0.55100    6.46086    -11.75085     -209.99299      6.49379       0.14780     -11.89711       2.64472   
 0.55200    6.44900    -11.96036     -209.03272      6.48179       0.15044     -12.10983       2.63307   
 0.55300    6.43694    -12.16891     -208.05191      6.46957       0.15307     -12.32163       2.62116   
 0.55400    6.42466    -12.37646     -207.05022      6.45714       0.15569     -12.53251       2.60899   
 0.55500    6.41218    -12.58300     -206.02729      6.44451       0.15829     -12.74242       2.59654   
 0.55600    6.39950    -12.78851     -204.98280      6.43166       0.16088     -12.95136       2.58382   
 0.55700    6.38661    -12.99296     -203.91642      6.41860       0.16346     -13.15930       2.57082   
 0.55800    6.37351    -13.19633     -202.82782      6.40534       0.16602     -13.36621       2.55753   
 0.55900    6.36021    -13.39861     -201.71668      6.39187       0.16857     -13.57207       2.54396   
 0.56000    6.34671    -13.59976     -200.58269      6.37820       0.17111     -13.77686       2.53010   
 0.56100    6.33301    -13.79976     -199.42556      6.36432       0.17363     -13.98056       2.51593   
 0.56200    6.31912    -13.99860     -198.24497      6.35024       0.17614     -14.18314       2.50147   
 0.56300    6.30502    -14.19625     -197.04066      6.33595       0.17863     -14.38457       2.48670   
 0.56400    6.29072    -14.39268     -195.81234      6.32147       0.18111     -14.58483       2.47162   
 0.56500    6.27623    -14.58786     -194.55975      6.30678       0.18358     -14.78390       2.45623   
 0.56600    6.26155    -14.78179     -193.28262      6.29190       0.18603     -14.98174       2.44052   
 0.56700    6.24667    -14.97442     -191.98071      6.27682       0.18846     -15.17833       2.42449   
 0.56800    6.23160    -15.16574     -190.65378      6.26154       0.19087     -15.37365       2.40813   
 0.56900    6.21634    -15.35572     -189.30161      6.24607       0.19327     -15.56767       2.39145   
 0.57000    6.20089    -15.54433     -187.92399      6.23041       0.19566     -15.76036       2.37444   
 0.57100    6.18525    -15.73156     -186.52072      6.21455       0.19802     -15.95169       2.35709   
 0.57200    6.16943    -15.91737     -185.09162      6.19851       0.20037     -16.14163       2.33941   
 0.57300    6.15342    -16.10173     -183.63650      6.18227       0.20270     -16.33016       2.32139   
 0.57400    6.13722    -16.28463     -182.15521      6.16585       0.20501     -16.51725       2.30302   
 0.57500    6.12085    -16.46603     -180.64762      6.14924       0.20731     -16.70287       2.28432   
 0.57600    6.10429    -16.64592     -179.11358      6.13244       0.20958     -16.88699       2.26526   
 0.57700    6.08756    -16.82425     -177.55299      6.11546       0.21184     -17.06959       2.24586   
 0.57800    6.07064    -17.00101     -175.96575      6.09830       0.21407     -17.25062       2.22611   
 0.57900    6.05355    -17.17618     -174.35178      6.08096       0.21629     -17.43007       2.20601   
 0.58000    6.03629    -17.34971     -172.71101      6.06344       0.21849     -17.60790       2.18556   
 0.58100    6.01886    -17.52159     -171.04341      6.04575       0.22066     -17.78409       2.16475   
 0.58200    6.00125    -17.69179     -169.34894      6.02788       0.22282     -17.95860       2.14359   
