GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.05700    0.24740     -0.24450      -11.15403      0.24922       0.00318      -0.26304       0.15095   
 0.05800    0.24715     -0.25558      -11.01736      0.24895       0.00333      -0.27599       0.14955   
 0.05900    0.24689     -0.26653      -10.86856      0.24867       0.00348      -0.28885       0.14799   
 0.06000    0.24662     -0.27732      -10.70732      0.24837       0.00362      -0.30160       0.14628   
 0.06100    0.24634     -0.28794      -10.53333      0.24806       0.00377      -0.31424       0.14441   
 0.06200    0.24605     -0.29838      -10.34630      0.24774       0.00391      -0.32674       0.14238   
 0.06300    0.24574     -0.30863      -10.14590      0.24741       0.00405      -0.33910       0.14018   
 0.06400    0.24543     -0.31867       -9.93184      0.24707       0.00419      -0.35130       0.13781   
 0.06500    0.24510     -0.32848       -9.70381      0.24671       0.00433      -0.36333       0.13526   
 0.06600    0.24477     -0.33807       -9.46151      0.24634       0.00446      -0.37518       0.13254   
 0.06700    0.24443     -0.34740       -9.20462      0.24596       0.00459      -0.38682       0.12963   
 0.06800    0.24408     -0.35647       -8.93286      0.24557       0.00472      -0.39825       0.12653   
 0.06900    0.24372     -0.36526       -8.64590      0.24516       0.00485      -0.40945       0.12324   
 0.07000    0.24335     -0.37376       -8.34346      0.24475       0.00497      -0.42040       0.11976   
 0.07100    0.24297     -0.38194       -8.02523      0.24432       0.00509      -0.43109       0.11608   
 0.07200    0.24258     -0.38980       -7.69093      0.24388       0.00520      -0.44150       0.11219   
 0.07300    0.24219     -0.39732       -7.34025      0.24344       0.00531      -0.45161       0.10810   
 0.07400    0.24179     -0.40448       -6.97290      0.24298       0.00542      -0.46142       0.10380   
 0.07500    0.24138     -0.41126       -6.58859      0.24251       0.00552      -0.47089       0.09928   
 0.07600    0.24097     -0.41765       -6.18705      0.24204       0.00561      -0.48002       0.09454   
 0.07700    0.24054     -0.42363       -5.76798      0.24155       0.00571      -0.48878       0.08958   
 0.07800    0.24012     -0.42918       -5.33112      0.24106       0.00579      -0.49716       0.08440   
 0.07900    0.23969     -0.43429       -4.87617      0.24056       0.00587      -0.50513       0.07898   
 0.08000    0.23925     -0.43893       -4.40288      0.24005       0.00595      -0.51269       0.07333   
 0.08100    0.23881     -0.44309       -3.91098      0.23954       0.00602      -0.51980       0.06744   
 0.08200    0.23836     -0.44674       -3.40020      0.23901       0.00609      -0.52646       0.06131   
 0.08300    0.23792     -0.44988       -2.87028      0.23848       0.00614      -0.53264       0.05494   
 0.08400    0.23746     -0.45248       -2.32098      0.23795       0.00620      -0.53832       0.04832   
 0.08500    0.23701     -0.45451       -1.75205      0.23741       0.00624      -0.54348       0.04145   
 0.08600    0.23656     -0.45597       -1.16325      0.23686       0.00628      -0.54809       0.03433   
 0.08700    0.23610     -0.45683       -0.55433      0.23631       0.00631      -0.55215       0.02695   
 0.08800    0.23564     -0.45708        0.07493      0.23576       0.00633      -0.55563       0.01931   
 0.08900    0.23518     -0.45668        0.72475      0.23520       0.00635      -0.55850       0.01140   
 0.09000    0.23473     -0.45562        1.39536      0.23464       0.00635      -0.56074       0.00323   
 0.09100    0.23427     -0.45388        2.08697      0.23408       0.00635      -0.56234      -0.00521   
